iata,icao,latitude,longitude,name,iso_country
MAG,AYMD,-5.20707988739,145.789001465,Madang Airport,PG
HGU,AYMH,-5.828212,144.299412,Mount Hagen Kagamuga Airport,PG
MXK,AYMI,-6.47166666667,147.441138889,Mindik Airport,PG
MPG,AYMJ,-6.532222222220001,147.651166667,Makini Airport,PG
GUV,AYML,-6.280859,142.420775,Mougulu Airport,PG
MDU,AYMN,-6.14774,143.656998,Mendi Airport,PG
MAS,AYMO,-2.06189,147.423996,Momote Airport,PG
MLQ,AYMP,-8.07138888889,146.155472222,Malalaua Airport,PG
MQO,AYMQ,-8.70916666667,142.649722222,Malam Airport,PG
MXH,AYMR,-6.36332988739,143.238006592,Moro Airport,PG
MIS,AYMS,-10.689200401299999,152.837997437,Misima Island Airport,PG
MKN,AYMV,-4.02343055556,153.657277778,Malekolon Airport,PG
MWG,AYMW,-6.9736,145.8849,Marawaka Airport,PG
MPU,AYMZ,-2.81138888889,151.991111111,Mapua(Mabua) Airport,PG
NKN,AYNA,-5.837,146.4533,Nankina Airport,PG
KEX,AYNB,-7.538888888890001,145.905,Kanabea Airport,PG
NDN,AYNC,-9.14355555556,147.68425,Nadunumu Airport,PG
AUI,AYND,-1.46055555556,143.064722222,Aua Island Airport,PG
GBF,AYNE,-6.567778,144.703058,Negarbo(Negabo) Airport,PG
MFO,AYNG,-5.577778,151.792333,Manguna Airport,PG
NUG,AYNI,-3.4075,154.7383,Nuguria Airstrip,PG
NDI,AYNJ,-9.47375,148.329416667,Namudi Airport,PG
KSB,AYNM,-6.3819,146.9859,Kasonombe Airport,PG
KDP,AYNN,-5.84061111111,143.507222222,Kandep Airport,PG
NMN,AYNO,-6.32183,145.070667,Nomane Airport,PG
BXZ,AYNS,-5.7243,147.8667,Bunsil Airport,PG
UKU,AYNU,-3.676765,142.48492,Nuku Airport,PG
ATN,AYNX,-3.6695,152.438,Namatanai Airport,PG
NBA,AYNY,-6.2412,145.2424,Nambaiyufa Airport,PG
LAE,AYNZ,-6.567995,146.726544,Nadzab Tomodachi International Airport,PG
OBX,AYOB,-7.590622421369999,141.324262619,Obo Airport,PG
KGB,AYOE,-6.2239,147.2152,Konge Airport,PG
OKV,AYOF,-5.55666666667,141.032777778,Okao Airport,PG
OGE,AYOG,-6.46675,147.364166667,Ogeranang Airport,PG
OKP,AYOJ,-5.2261,142.2259,Oksapmin Airport,PG
HOC,AYOK,-7.3984,145.8827,Komako Airport,PG
KQL,AYOL,-5.73116666667,144.846,Kol Airport,PG
OSE,AYOM,-7.82777777778,147.080638889,Omora Airport,PG
KOM,AYOO,-6.0682,142.8598,Komo-Manda Airport,PG
KSP,AYOP,-8.450716,147.209195,Kosipe Airport,PG
KCJ,AYOQ,-7.2714,143.5952,Komaio Airport,PG
OLQ,AYOV,-5.3897222222200005,141.515277778,Olsobip Airport,PG
KDE,AYOW,-5.6952,142.7441,Koroba Airport,PG
OPB,AYOY,-4.794727,151.696195,Open Bay Airport,PG
PLE,AYPB,-5.372407,142.975774,Paiela Airport,PG
PGB,AYPC,-7.0226,141.5605,Pangoa Airport,PG
PDI,AYPD,-6.445138888890001,147.515833333,Pindiu Airport,PG
APR,AYPE,-4.67666666667,142.540138889,April River Airport,PG
PGN,AYPG,-6.386,144.1084,Pangia Airport,PG
PMP,AYPJ,-6.49916666667,143.510277778,Pimaga Airport,PG
MPF,AYPO,-7.979,143.1694,Mapoda Airport,PG
PMN,AYPQ,-9.7469,149.4766,Pumani Airport,PG
WLU,AYPU,-6.475161,143.987222,Walluanda Airport,PG
POM,AYPY,-9.443380355834961,147.22000122070312,Port Moresby Jacksons International Airport,PG
KRJ,AYQA,-4.59666666667,143.5225,Karawari Airstrip,PG
TLP,AYQL,-4.7748,141.0133,Tumolbil Airport,PG
SPH,AYQO,-8.3038,147.1659,Sopu Airport,PG
ONB,AYQQ,-8.67436111111,147.262416667,Ononge Airport,PG
SXA,AYQS,-6.0908,147.5955,Sialum Airport,PG
KIQ,AYRA,-8.065111111110001,147.332027778,Kira Airport,PG
RBP,AYRE,-9.97111111111,149.832222222,Raba Raba Airport,PG
RMN,AYRG,-5.89722222222,141.271666667,Rumginae Airport,PG
KMR,AYRI,-6.4921,144.823,Karimui Airport,PG
RKU,AYRK,-8.817000054,146.5243833,Kairuku Airport,PG
MWI,AYRM,-5.13,143.4829,Maramuni Airport,PG
KOR,AYRO,-7.8346666666700004,146.5335,Kakoro(Koroko) Airstrip,PG
MRH,AYRV,-4.3615,141.785,May River Airstrip,PG
SBE,AYSA,-6.10444444444,142.278333333,Suabi Airport,PG
SDI,AYSD,-5.62713888889,146.462777778,Saidor Airport,PG
NIS,AYSE,-2.66222222222,151.997777778,Simberi Airport,PG
SFU,AYSF,-9.594471,148.639305,Safia Airport,PG
SIL,AYSG,-9.07355555556,148.38925,Sila Airport,PG
SBV,AYSH,-5.5765,155.0489,Sabah Airport,PG
SIM,AYSJ,-5.278611111110001,144.544722222,Simbai Airport,PG
SGK,AYSK,-5.12583333333,144.323611111,Sengapi Airstrip,PG
SXH,AYSL,-9.96452777778,151.161861111,Sehulea Airport,PG
SBC,AYSO,-5.315,141.752,Selbang Airport,PG
SMH,AYSP,-6.075277777779999,146.811111111,Sapmanga Airport,PG
SPV,AYSQ,-3.8821,143.6734,Sepik Plains Airport,PG
TDS,AYSS,-7.6217,142.868,Sasereme Airport,PG
SKC,AYSU,-8.0466,141.7222,Suki Airport,PG
SXW,AYSV,-5.9701,148.8543,Sauren Airport,PG
SWG,AYSW,-6.13955555556,147.279166667,Satwag Airport,PG
MBV,AYSX,-6.345,147.591,Masa Airport,PG
TIZ,AYTA,-5.845,142.947998,Tari Airport,PG
TBG,AYTB,-5.280471,141.227576,Tabubil Airport,PG
TFM,AYTE,-5.12608,141.641922,Telefomin Airport,PG
TDB,AYTF,-9.1586,148.0686,Tetebedi Airport,PG
TGL,AYTG,-11.3311111111,153.202916667,Tagula Airport,PG
TFB,AYTH,-5.117249,141.418076,Tifalmin Airport,PG
TPI,AYTI,-8.35666666667,146.989166667,Tapini Airport,PG
RAB,AYTK,-4.34046,152.380005,Tokua Airport,PG
TKW,AYTN,-5.243667,142.165194,Tekin Airport,PG
KDQ,AYTO,-3.600556,141.051667,Kamberatoro Airport,PG
TEP,AYTP,-5.9553,146.5595,Tep Tep Airport,PG
TBQ,AYTR,-6.46666666667,145.532222222,Tarabo Airport,PG
TSW,AYTS,-7.0695,146.1272,Tsewi Airport,PG
TRJ,AYTT,-5.614,141.0421,Tarakbits Airport,PG
TFI,AYTU,-9.07595443726,149.319839478,Tufi Airport,PG
TBE,AYTV,-4.196633,143.519222,Timbunke Airport,PG
TWY,AYTW,-7.4463,146.1067,Tawa Airport,PG
TEO,AYTY,-8.16972222222,146.194444444,Terapo Airport,PG
TKB,AYTZ,-7.6808,146.5503,Tekadu Airport,PG
UMC,AYUC,-7.0214,145.966,Umba Airport,PG
URU,AYUE,-9.5162,148.5591,Uroubi Airport,PG
UBI,AYUI,-6.72916666667,155.683333333,Buin Airport,PG
AUV,AYUM,-5.731111111110001,148.445277778,Aumo Airport,PG
